number,state,value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_alert_recall,user_attrs_fold1_alert_recall,user_attrs_fold1_recall_Extreme,user_attrs_fold1_recall_Very high,user_attrs_fold1_uvi_mae,user_attrs_fold2_alert_recall,user_attrs_fold2_recall_Extreme,user_attrs_fold2_recall_Very high,user_attrs_fold2_uvi_mae,user_attrs_fold3_alert_recall,user_attrs_fold3_recall_Extreme,user_attrs_fold3_recall_Very high,user_attrs_fold3_uvi_mae,user_attrs_recall_Extreme,user_attrs_recall_Very high
0,COMPLETE,0.46774857348792676,0.49359671220172163,0.0006677615511747083,0.17254716573280354,8,7.6611007077713635,700,0.29154431891537513,0.0017073967431528124,0.5780093202212182,0.4507420932949218,0.4319041614123581,0.07692307692307693,0.7868852459016393,0.4679842090989823,0.5417094017094017,0.28,0.8034188034188035,0.5358329391339791,0.3786127167630058,0.0,0.7572254335260116,0.39942857223081873,0.11897435897435898,0.7825098276154847
1,COMPLETE,0.4505371567427077,0.5090949803242604,0.00029229052129200957,0.010636066512540286,10,16.967533607196547,1150,0.0016480446427978971,0.00541524411940254,0.6061695553391381,0.43557666457979166,0.4290668348045397,0.038461538461538464,0.819672131147541,0.4514828199236636,0.48170940170940174,0.16,0.8034188034188035,0.5268360382413364,0.3959537572254335,0.0,0.791907514450867,0.3732926120631232,0.06615384615384616,0.8049994830057372
2,COMPLETE,0.4559532519974654,0.619817105976215,8.674832802525457e-06,0.023927528765580644,7,1.6071238512039876,750,0.13826232179369857,0.06672367170464207,0.6460723242676091,0.4340297651010245,0.42291929382093313,0.038461538461538464,0.8073770491803278,0.4557944365828548,0.4774358974358974,0.16,0.7948717948717948,0.5319778681631261,0.40173410404624277,0.0,0.8034682080924855,0.38008745124641535,0.06615384615384616,0.8019056840482027
3,COMPLETE,0.4588801604185048,0.43903095579116774,0.006289771819487037,0.05898602410432694,3,7.896186801026689,850,0.7286653737491037,6.245139574743075,0.5852620618436457,0.4513042347904473,0.43600252206809587,0.07692307692307693,0.7950819672131147,0.45155432664176975,0.5046153846153847,0.24,0.7692307692307693,0.5403010076613525,0.41329479768786126,0.0,0.8265895953757225,0.38478514695239224,0.10564102564102563,0.7969674439398688
4,COMPLETE,0.4567744796867725,0.6971061460667621,1.6443693426189246e-05,0.013399060561509796,8,4.468467502504582,600,0.43379206974909373,0.0013726318898045872,0.5610191174223894,0.44370900323236145,0.4290668348045397,0.038461538461538464,0.819672131147541,0.4606475951405192,0.49743589743589745,0.2,0.7948717948717948,0.5321447030054908,0.4046242774566474,0.0,0.8092485549132948,0.37753114091430745,0.0794871794871795,0.8079308269775435
5,COMPLETE,0.4554463524619399,0.9817507766587351,0.01602385029019494,0.02544166090938368,7,6.42033033629786,1050,0.5727904470799616,1.2604664585649468,0.5924272277627636,0.44447963515053446,0.4441992433795713,0.07692307692307693,0.8114754098360656,0.44926492639953175,0.48461538461538467,0.2,0.7692307692307693,0.5393170549726379,0.4046242774566474,0.0,0.8092485549132948,0.37775707601364994,0.09230769230769231,0.7966515779933765
6,COMPLETE,0.4731016607503999,0.5951981984579586,0.007838134236608708,0.15826541904647565,3,1.9475582306295418,1000,0.0012172958098369967,0.03586816498627549,0.522613644455269,0.442628078916812,0.42165825977301385,0.07692307692307693,0.7663934426229508,0.4655579094559634,0.5131623931623932,0.24,0.7863247863247863,0.5571880400605628,0.3930635838150289,0.0,0.7861271676300579,0.39655903273467336,0.10564102564102563,0.7796151321925984
7,COMPLETE,0.45289502556447325,0.44473038620786254,8.585370205937368e-06,0.023200867504756827,7,1.6149614799999181,650,0.12273800987852965,8.862326508576253,0.9010984903770198,0.4422725218494194,0.42701765447667084,0.038461538461538464,0.8155737704918032,0.45299722861119895,0.5038461538461538,0.2,0.8076923076923077,0.5280241856118283,0.3959537572254335,0.0,0.791907514450867,0.3776636624703925,0.0794871794871795,0.8050578642116593
8,COMPLETE,0.45275642041195185,0.44442679104045424,0.011368341439732735,0.11506408247250169,8,11.935262708510537,200,0.00029072088906598463,0.02715581955282941,0.8856351733429728,0.44647043427248106,0.43521437578814626,0.038461538461538464,0.8319672131147541,0.4593635631170386,0.4995726495726496,0.2,0.7991452991452992,0.5299502173552278,0.4046242774566474,0.0,0.8092485549132948,0.3689554807635891,0.0794871794871795,0.8134536890577827
9,COMPLETE,0.453039217654517,0.8377637070028385,0.00016554793541373176,0.026946865572417687,3,2.879775265707033,1000,0.35387588647792356,0.35500125258511606,0.6625916610133735,0.4482624727228157,0.4319041614123581,0.07692307692307693,0.7868852459016393,0.4497256070116667,0.5024786324786324,0.24,0.7649572649572649,0.536650119962183,0.41040462427745666,0.0,0.8208092485549133,0.37274192598970113,0.10564102564102563,0.7908839198046058
