dataset,path,label,dup_group,split,label_conflict
ccsn,ccsn/CCSN_v2/Ac/Ac-N001.jpg,Ac,0,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N002.jpg,Ac,1,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N003.jpg,Ac,2,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N004.jpg,Ac,3,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N005.jpg,Ac,4,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N006.jpg,Ac,5,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N007.jpg,Ac,6,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N008.jpg,Ac,7,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N009.jpg,Ac,8,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N010.jpg,Ac,9,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N011.jpg,Ac,10,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N012.jpg,Ac,11,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N013.jpg,Ac,12,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N014.jpg,Ac,13,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N015.jpg,Ac,14,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N016.jpg,Ac,15,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N017.jpg,Ac,16,test,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N018.jpg,Ac,17,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N019.jpg,Ac,18,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N020.jpg,Ac,19,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N021.jpg,Ac,20,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N022.jpg,Ac,21,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N023.jpg,Ac,22,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N024.jpg,Ac,23,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N025.jpg,Ac,24,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N026.jpg,Ac,25,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N027.jpg,Ac,26,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N028.jpg,Ac,26,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N029.jpg,Ac,28,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N030.jpg,Ac,29,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N031.jpg,Ac,30,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N032.jpg,Ac,31,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N033.jpg,Ac,32,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N034.jpg,Ac,33,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N035.jpg,Ac,34,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N036.jpg,Ac,35,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N037.jpg,Ac,36,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N038.jpg,Ac,37,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N039.jpg,Ac,38,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N040.jpg,Ac,39,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N041.jpg,Ac,40,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N042.jpg,Ac,41,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N043.jpg,Ac,42,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N044.jpg,Ac,43,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N045.jpg,Ac,44,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N046.jpg,Ac,45,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N047.jpg,Ac,46,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N048.jpg,Ac,47,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N049.jpg,Ac,48,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N050.jpg,Ac,49,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N051.jpg,Ac,50,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N052.jpg,Ac,51,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N053.jpg,Ac,52,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N054.jpg,Ac,53,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N055.jpg,Ac,54,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N056.jpg,Ac,55,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N057.jpg,Ac,56,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N058.jpg,Ac,57,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N059.jpg,Ac,58,val,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N060.jpg,Ac,59,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N061.jpg,Ac,60,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N062.jpg,Ac,61,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N063.jpg,Ac,62,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N064.jpg,Ac,63,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N065.jpg,Ac,64,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N066.jpg,Ac,65,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N067.jpg,Ac,66,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N068.jpg,Ac,67,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N069.jpg,Ac,68,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N070.jpg,Ac,69,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N071.jpg,Ac,70,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N072.jpg,Ac,71,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N073.jpg,Ac,72,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N074.jpg,Ac,73,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N075.jpg,Ac,74,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N076.jpg,Ac,75,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N077.jpg,Ac,76,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N078.jpg,Ac,77,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N079.jpg,Ac,78,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N080.jpg,Ac,79,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N081.jpg,Ac,80,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N082.jpg,Ac,81,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N083.jpg,Ac,82,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N084.jpg,Ac,83,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N085.jpg,Ac,84,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N086.jpg,Ac,85,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N087.jpg,Ac,86,train,False
