dataset,path,label,dup_group,split,label_conflict
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img1.png,clear_sky,0,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img10.png,clear_sky,1,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img100.png,clear_sky,2,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img101.png,clear_sky,303,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img102.png,clear_sky,4,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img103.png,clear_sky,5,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img104.png,clear_sky,6,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img105.png,clear_sky,6,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img106.png,clear_sky,8,test,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img107.png,clear_sky,9,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img108.png,clear_sky,10,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img109.png,clear_sky,10,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img11.png,clear_sky,12,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img110.png,clear_sky,13,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img111.png,clear_sky,14,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img112.png,clear_sky,15,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img113.png,clear_sky,16,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img114.png,clear_sky,14,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img115.png,clear_sky,18,test,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img116.png,clear_sky,19,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img117.png,clear_sky,20,test,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img118.png,clear_sky,21,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img119.png,clear_sky,21,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img12.png,clear_sky,23,train,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img120.png,clear_sky,21,val,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img121.png,clear_sky,25,test,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img122.png,clear_sky,25,test,False
swimcat_ext,swimcat_ext/Swimcat-extend/A-Clear Sky/A_img123.png,clear_sky,27,train,False
